brand,fuel,location,model_name,odometer,price,transmission,year
Honda,Bensin,Mojokerto ,jazz,30000.0,195 ,Otomatis,2015
Nissan,Bensin,Indonesia ,serena,5000.0,380 ,Otomatis,2019
Nissan,Bensin,Kota Jakarta Timur ,serena,69000.0,238 ,Otomatis,2016
Nissan,Bensin,Indonesia ,serena,51500.0,170 ,Otomatis,2016
Nissan,Bensin,Bandung ,serena,104000.0,115 ,Otomatis,2011
Suzuki,Bensin,Kabupaten Sidoarjo ,ertiga,1200.0,191.5 ,Otomatis,2019
Suzuki,Bensin,Kota SBY ,ertiga,57000.0,143 ,Manual,2017
Suzuki,Bensin,DKI Jakarta ,ertiga,20000.0,136 ,Otomatis,2017
Suzuki,Bensin,Kabupaten Sidoarjo ,ertiga,58000.0,127.5 ,Manual,2014
Toyota,Bensin,Sidoarjo ,avanza,96000.0,139 ,Manual,2016
Toyota,Bensin,Malang ,avanza,80000.0,135 ,Otomatis,2014
Toyota,Bensin,Malang ,avanza,2000.0,190.25 ,Manual,2019
Toyota,Bensin,Jakarta Timur ,avanza,135000.0,85 ,Manual,2011
Suzuki,Bensin,Indonesia ,swift,89000.0,80 ,Otomatis,2009
Suzuki,Bensin,Indonesia ,swift,95000.0,97 ,Otomatis,2009
Suzuki,Bensin,Jl. Medan Utara ,swift,55120.0,138 ,Otomatis,2012
Suzuki,Bensin,Indonesia ,swift,190296.0,75 ,Otomatis,2006
Toyota,Bensin,Malang ,sienta,40000.0,180 ,Otomatis,2016
Toyota,Bensin,Kabupaten Sidoarjo ,sienta,1.0,150 ,Otomatis,2017
Toyota,Bensin,Kabupaten Sidoarjo ,sienta,59000.0,167.5 ,Manual,2017
Toyota,Bensin,Malang ,sienta,22000.0,195 ,Otomatis,2016
Nissan,Bensin,Kota Jakarta Selatan ,livina,70000.0,105 ,Manual,2015
Nissan,Bensin,Makassar ,livina,2.0,155 ,Otomatis,2015
Nissan,Bensin,Kota Tgr. Sel. ,livina,59000.0,110 ,Otomatis,2014
Nissan,Bensin,Indonesia ,livina,1.0,107.5 ,Manual,2014
