brand,fuel,location,model_name,odometer,price,transmission,year
Honda,Bensin,"
Kota SBY ",jazz,1 Km,153 Juta,Otomatis,2012
Honda,Bensin,"
Kabupaten Sidoarjo ",jazz,"143,000 Km",74.75 Juta,Manual,2006
Honda,Bensin,"
Mojokerto ",jazz,"30,000 Km",195 Juta,Otomatis,2015
Nissan,Bensin,"
Indonesia ",serena,"5,000 Km",380 Juta,Otomatis,2019
Nissan,Bensin,"
Kota Jakarta Timur ",serena,"69,000 Km",238 Juta,Otomatis,2016
Nissan,Bensin,"
Indonesia ",serena,"51,500 Km",170 Juta,Otomatis,2016
Nissan,Bensin,"
Bandung ",serena,"104,000 Km",115 Juta,Otomatis,2011
Suzuki,Bensin,"
Kabupaten Sidoarjo ",ertiga,"1,200 Km",191.5 Juta,Otomatis,2019
Suzuki,Bensin,"
Kota SBY ",ertiga,"57,000 Km",143 Juta,Manual,2017
Suzuki,Bensin,"
DKI Jakarta ",ertiga,"20,000 Km",136 Juta,Otomatis,2017
Suzuki,Bensin,"
Kabupaten Sidoarjo ",ertiga,"58,000 Km",127.5 Juta,Manual,2014
Toyota,Bensin,"
Sidoarjo ",avanza,"96,000 Km",139 Juta,Manual,2016
Toyota,Bensin,"
Malang ",avanza,"80,000 Km",135 Juta,Otomatis,2014
Toyota,Bensin,"
Malang ",avanza,"2,000 Km",190.25 Juta,Manual,2019
Toyota,Bensin,"
Jakarta Timur ",avanza,"135,000 Km",85 Juta,Manual,2011
Suzuki,Bensin,"
Indonesia ",swift,"89,000 Km",80 Juta,Otomatis,2009
Suzuki,Bensin,"
Indonesia ",swift,"95,000 Km",97 Juta,Otomatis,2009
Suzuki,Bensin,"
Jl. Medan Utara ",swift,"55,120 Km",138 Juta,Otomatis,2012
Suzuki,Bensin,"
Indonesia ",swift,"190,296 Km",75 Juta,Otomatis,2006
Toyota,Bensin,"
Malang ",sienta,"40,000 Km",180 Juta,Otomatis,2016
Toyota,Bensin,"
Kabupaten Sidoarjo ",sienta,1 Km,150 Juta,Otomatis,2017
Toyota,Bensin,"
Kabupaten Sidoarjo ",sienta,"59,000 Km",167.5 Juta,Manual,2017
Toyota,Bensin,"
Malang ",sienta,"22,000 Km",195 Juta,Otomatis,2016
Nissan,Bensin,"
Kota Jakarta Selatan ",livina,"70,000 Km",105 Juta,Manual,2015
"
Nissan",Bensin,"
Makassar ",livina,2 Km,155 Juta,Otomatis,2015
Nissan,Bensin,"
Kota Tgr. Sel. ",livina,"59,000 Km",110 Juta,Otomatis,2014
"
Nissan",Bensin,"
Indonesia ",livina,1 Km,107.5 Juta,Manual,2014
Honda,Bensin,"
Malang ",jazz,"40,000 Km",228 Juta,Otomatis,2017
Honda,Bensin,"
Malang ",jazz,"18,000 Km",250 Juta,Otomatis,2018
Honda,Bensin,"
Malang ",jazz,1 Km,92 Juta,Manual,2004
Honda,Bensin,"
Kota SBY ",jazz,1 Km,209 Juta,Otomatis,2015
Nissan,Bensin,"
Kota SBY ",serena,"67,000 Km",179 Juta,Otomatis,2013
Nissan,Bensin,"
Indonesia ",serena,"136,000 Km",95 Juta,Otomatis,2010
Suzuki,Bensin,"
Jakarta Timur ",ertiga,"65,000 Km",120 Juta,Otomatis,2013
Suzuki,Bensin,"
Jakarta Timur ",ertiga,"61,000 Km",93 Juta,Otomatis,2013
Suzuki,Bensin,"
Jakarta Selatan ",ertiga,"106,000 Km",90 Juta,Manual,2012
Suzuki,Bensin,"
Kota SBY ",ertiga,1 Km,132 Juta,Manual,2015
Toyota,Bensin,"
Jakarta Timur ",avanza,"70,000 Km",137.5 Juta,Manual,2017
Toyota,Bensin,"
Jakarta Timur ",avanza,"27,000 Km",135 Juta,Manual,2018
Toyota,Bensin,"
Jakarta Timur ",avanza,"71,000 Km",122.5 Juta,Manual,2015
Suzuki,Bensin,"
Indonesia ",swift,"41,405 Km",128 Juta,Otomatis,2014
"
Suzuki",Bensin,"
Semarang ",swift,"73,000 Km",105 Juta,Otomatis,2011
Suzuki,Bensin,"
Indonesia ",swift,"225,000 Km",82 Juta,Manual,2009
Suzuki,Bensin,"
Indonesia ",swift,"51,000 Km",132 Juta,Otomatis,2014
Toyota,Bensin,"
Indonesia ",sienta,"30,000 Km",195 Juta,Otomatis,2017
Toyota,Bensin,"
Pontianak ",sienta,"35,000 Km",211 Juta,Otomatis,2016
Toyota,Bensin,"
Banten ",sienta,"70,000 Km",165 Juta,Otomatis,2017
Toyota,Bensin,"
Bekasi ",sienta,"42,047 Km",155 Juta,Otomatis,2017
"
Nissan",Bensin,"
Indonesia ",livina,1 Km,78 Juta,Otomatis,2008
"
Nissan",Bensin,"
Kabupaten Sleman ",livina,"143,000 Km",62 Juta,Manual,2008
Nissan,Bensin,"
Kota Tgr. Sel. ",livina,"90,000 Km",109 Juta,Otomatis,2014
Honda,Bensin,"
Kota SBY ",jazz,"28,000 Km",210 Juta,Manual,2016
Honda,Bensin,"
Malang ",jazz,1 Km,145 Juta,Otomatis,2010
Honda,Bensin,"
Malang ",jazz,1 Km,147.5 Juta,Otomatis,2010
Honda,Bensin,"
Malang ",jazz,"88,000 Km",145 Juta,Otomatis,2010
Suzuki,Bensin,"
Jakarta Timur ",ertiga,"45,000 Km",128 Juta,Manual,2016
Suzuki,Bensin,"
Jakarta Timur ",ertiga,"85,000 Km",108 Juta,Manual,2013
Suzuki,Bensin,"
Malang ",ertiga,"83,000 Km",138.5 Juta,Manual,2015
Suzuki,Bensin,"
Kabupaten Sidoarjo ",ertiga,"40,000 Km",138 Juta,Manual,2014
Toyota,Bensin,"
Jakarta Timur ",avanza,"65,000 Km",122.5 Juta,Manual,2016
Toyota,Bensin,"
Kota Jakarta Timur ",avanza,"150,000 Km",95 Juta,Manual,2013
Toyota,Bensin,"
Kota Jakarta Barat ",avanza,"37,000 Km",127 Juta,Otomatis,2018
Suzuki,Bensin,"
Bandung ",swift,"100,000 Km",92.5 Juta,Otomatis,2007
Suzuki,Bensin,"
Jl. Raya Karawaci / Imam Bonjol ",swift,"50,000 Km",119 Juta,Otomatis,2012
Suzuki,Bensin,"
Depok ",swift,"61,000 Km",135 Juta,Otomatis,2013
Suzuki,Bensin,"
Malang ",swift,1 Km,145 Juta,Manual,2013
"
Toyota",Bensin,"
Palembang ",sienta,1 Km,158 Juta,Otomatis,2016
"
Toyota",Bensin,"
Pekanbaru ",sienta,2 Km,166 Juta,Otomatis,2016
"
Toyota",Bensin,"
Semarang ",sienta,"50,732 Km",155 Juta,Otomatis,2017
"
Toyota",Bensin,"
Indonesia ",sienta,1 Km,208 Juta,Otomatis,2018
"
Nissan",Bensin,"
Semarang ",livina,1 Km,112 Juta,Manual,2014
Nissan,Bensin,"
Indonesia ",livina,"80,000 Km",107 Juta,Manual,2013
Nissan,Bensin,"
Indonesia ",livina,"165,500 Km",70 Juta,Otomatis,2008
Honda,Bensin,"
Malang ",jazz,"115,000 Km",125 Juta,Manual,2008
Suzuki,Bensin,"
Malang ",ertiga,1 Km,120 Juta,Manual,2012
Suzuki,Bensin,"
Malang ",ertiga,1 Km,145 Juta,Manual,2015
Suzuki,Bensin,"
Malang ",ertiga,1 Km,142 Juta,Manual,2016
Suzuki,Bensin,"
Kota SBY ",ertiga,"63,000 Km",158 Juta,Manual,2018
Toyota,Bensin,"
Tangerang ",avanza,"48,000 Km",109 Juta,Otomatis,2018
Toyota,Bensin,"
Depok ",avanza,"88,000 Km",140 Juta,Manual,2016
Toyota,Bensin,"
Tangerang ",avanza,"34,000 Km",143 Juta,Otomatis,2018
"
Suzuki",Bensin,"
Semarang ",swift,"66,000 Km",138 Juta,Otomatis,2014
"
Suzuki",Bensin,"
Bantul ",swift,"50,000 Km",90 Juta,Otomatis,2006
Toyota,Bensin,"
ID ",sienta,"55,000 Km",186 Juta,Otomatis,2016
"
Toyota",Bensin,"
Indonesia ",sienta,1 Km,155 Juta,Manual,2016
Toyota,Bensin,"
Depok ",sienta,"38,000 Km",170 Juta,Manual,2017
Toyota,Bensin,"
Indonesia ",sienta,"61,000 Km",175 Juta,Manual,2017
Nissan,Bensin,"
Indonesia ",livina,"130,000 Km",97 Juta,Otomatis,2012
Nissan,Bensin,"
Pontianak ",livina,"15,000 Km",159 Juta,Otomatis,2018
Nissan,Bensin,"
Kubu Raya Regency ",livina,"15,000 Km",92 Juta,Otomatis,2008
Nissan,Bensin,"
Pontianak ",livina,"15,000 Km",139 Juta,Otomatis,2015
Suzuki,Bensin,"
Kabupaten Sidoarjo ",ertiga,"57,000 Km",123 Juta,Otomatis,2013
Toyota,Bensin,"
Tangerang ",avanza,"37,000 Km",138 Juta,Manual,2018
Toyota,Bensin,"
Bekasi ",avanza,"146,000 Km",90 Juta,Manual,2009
Toyota,Bensin,"
Bekasi ",avanza,"70,000 Km",125 Juta,Otomatis,2015
Toyota,Bensin,"
Kota Jakarta Timur ",avanza,"65,123 Km",148 Juta,Manual,2016
Toyota,Bensin,"
Indonesia ",sienta,"75,552 Km",149 Juta,Otomatis,2016
Toyota,Bensin,"
Jl. Gading Serpong Boulevard ",sienta,"35,000 Km",164 Juta,Otomatis,2016
Nissan,Bensin,"
Kubu Raya Regency ",livina,"15,000 Km",115 Juta,Manual,2013
Nissan,Bensin,"
Indonesia ",livina,"190,000 Km",95 Juta,Manual,2011
Nissan,Bensin,"
Indonesia ",livina,"8,000 Km",210 Juta,Otomatis,2019
